,Country,Activity,Year
1566,USA,Surfing,2005
1570,USA,Swimming,2005
1577,USA,Swimming,2005
1578,USA,Swimming,2005
1581,USA,Surfing,2005
1584,USA,Swimming,2005
1591,USA,Surfing,2005
1597,USA,Surfing,2005
1598,USA,Surfing,2005
1611,USA,Surfing,2005
1624,USA,Surfing,2004
1631,USA,Surfing,2004
1635,USA,Surfing,2004
1636,USA,Surfing,2004
1638,USA,Surfing,2004
1644,USA,Surfing,2004
1646,USA,Swimming,2004
1649,USA,Surfing,2004
1651,USA,Surfing,2004
1652,USA,Swimming,2004
1660,USA,Surfing,2004
1664,USA,Swimming,2004
1668,USA,Surfing,2004
1670,USA,Swimming,2004
1680,USA,Surfing,2004
1682,USA,Surfing,2004
1684,USA,Surfing,2004
1686,USA,Surfing,2004
1688,USA,Swimming,2004
1691,USA,Surfing,2004
1711,USA,Swimming,2003
1712,USA,Swimming,2003
1718,USA,Surfing,2003
1720,USA,Surfing,2003
1725,USA,Surfing,2003
1728,USA,Surfing,2003
1730,USA,Surfing,2003
1732,USA,Surfing,2003
1738,USA,Surfing,2003
1739,USA,Surfing,2003
1740,USA,Surfing,2003
1741,USA,Surfing,2003
1742,USA,Surfing,2003
1744,USA,Swimming,2003
1751,USA,Swimming,2003
1754,USA,Surfing,2003
1758,USA,Surfing,2003
1763,USA,Surfing,2003
1764,USA,Surfing,2003
1768,USA,Swimming,2003
1770,USA,Surfing,2003
1771,USA,Swimming,2003
1772,USA,Surfing,2003
1774,USA,Swimming,2003
1775,USA,Surfing,2003
1782,USA,Surfing,2003
1784,USA,Surfing,2003
1788,USA,Surfing,2003
1791,USA,Surfing,2003
1792,USA,Surfing,2003
1796,USA,Swimming,2003
1810,USA,Swimming,2002
1812,USA,Surfing,2002
1815,USA,Swimming,2002
1817,USA,Surfing,2002
1818,USA,Surfing,2002
1820,USA,Surfing,2002
1821,USA,Surfing,2002
1822,USA,Surfing,2002
1827,USA,Surfing,2002
1833,USA,Surfing,2002
1834,USA,Swimming,2002
1835,USA,Surfing,2002
1836,USA,Surfing,2002
1840,USA,Surfing,2002
1841,USA,Swimming,2002
1842,USA,Surfing,2002
1847,USA,Swimming,2002
1852,USA,Surfing,2002
1853,USA,Surfing,2002
1854,USA,Swimming,2002
1856,USA,Surfing,2002
1868,USA,Surfing,2002
1878,USA,Surfing,2002
1892,USA,Surfing,2001
1899,USA,Surfing,2001
1902,USA,Surfing,2001
1906,USA,Swimming,2001
1908,USA,Swimming,2001
1916,USA,Surfing,2001
1917,USA,Surfing,2001
1918,USA,Surfing,2001
1921,USA,Surfing,2001
1933,USA,Surfing,2001
1936,USA,Swimming,2001
1939,USA,Swimming,2001
1944,USA,Swimming,2001
1945,USA,Swimming,2001
1950,USA,Surfing,2001
1953,USA,Surfing,2001
1956,USA,Surfing,2001
1960,USA,Surfing,2001
1963,USA,Surfing,2001
1970,USA,Surfing,2001
1980,USA,Surfing,2001
1990,USA,Swimming,2000
1994,USA,Surfing,2000
1996,USA,Surfing,2000
1998,USA,Swimming,2000
1999,USA,Surfing,2000
2000,USA,Surfing,2000
2002,USA,Surfing,2000
2010,USA,Surfing,2000
2012,USA,Swimming,2000
2018,USA,Swimming,2000
2030,USA,Surfing,2000
2031,USA,Surfing,2000
2049,USA,Surfing,2000
2050,USA,Swimming,2000
2063,USA,Surfing,2000
2085,USA,Surfing,1999
2086,USA,Surfing,1999
2087,USA,Swimming,1999
2095,USA,Surfing,1999
2102,USA,Surfing,1999
2105,USA,Surfing,1999
2106,USA,Surfing,1999
2108,USA,Surfing,1999
2114,USA,Surfing,1999
2120,USA,Surfing,1999
2121,USA,Swimming,1999
2127,USA,Surfing,1999
2137,USA,Surfing,1999
2145,USA,Surfing,1998
2150,USA,Swimming,1998
2151,USA,Surfing,1998
2153,USA,Surfing,1998
2156,USA,Swimming,1998
2158,USA,Surfing,1998
2162,USA,Surfing,1998
2163,USA,Surfing,1998
2165,USA,Surfing,1998
2167,USA,Surfing,1998
2177,USA,Surfing,1998
2183,USA,Surfing,1998
2188,USA,Surfing,1998
2189,USA,Swimming,1998
2197,USA,Swimming,1998
2200,USA,Swimming,1998
2213,USA,Swimming,1997
2215,USA,Swimming,1997
2219,USA,Surfing,1997
2220,USA,Surfing,1997
2222,USA,Swimming,1997
2224,USA,Surfing,1997
2225,USA,Surfing,1997
2226,USA,Surfing,1997
2227,USA,Surfing,1997
2236,USA,Surfing,1997
2249,USA,Surfing,1997
2253,USA,Surfing,1997
2271,USA,Surfing,1996
2272,USA,Surfing,1996
2276,USA,Surfing,1996
2277,USA,Surfing,1996
2280,USA,Swimming,1996
2293,USA,Swimming,1996
